SC5314	wt_no_dox_no_HS_Mean	wt_dox_no_HS_Mean	wt_dox_10_HS_Mean	wt_dox_30_HS_Mean	wt_dox_60_HS_Mean	tet90_no_dox_no_HS_Mean	tet90_dox_no_HS_Mean	tet90_dox_10_HS_Mean	tet90_dox_30_HS_Mean	tet90_dox_60_HS_Mean
C1_08030W_A	12.09605624	12.20314405	12.28771238	13.26131141	12.90801726	12.25079187	12.5719896	13.13805843	12.73230878	13.21987436
C1_08040W_A	7.048032696	7.660590205	6.333900737	7.761551232	8.744833837	7.641449692	9.32568023	7.386581053	8.460797161	8.486499862
C1_08050W_A	12.1435958	11.81898154	11.3466984	10.92901177	11.33910769	12.10699906	12.26717683	11.41080465	12.2273151	11.12261233
C1_08060W_A	10.54206454	11.5385123	10.87472526	9.915879379	10.24317398	10.9725012	11.07190923	9.635415827	11.34540525	9.279997414
C1_08070W_A	10.64655871	13.56212315	11.50514992	11.03043724	10.77670718	12.75398275	14.0644621	10.21876503	13.15539802	10.54882191
C1_08080C_A	10.67360353	10.62021983	9.872418378	9.902877533	9.855387618	10.79333236	10.94373578	10.05573434	10.92604885	9.450523951
CR_04210C_A	11.74259014	13.18415216	12.56708462	9.747633557	10.47336753	12.49060021	13.09264704	11.24772976	12.0486004	8.763765654
C1_08090C_A	14.04217235	13.64483268	13.54133866	13.46458829	12.15312976	13.94562672	13.2938069	13.42971185	12.61501651	11.79455125
C1_08100W_A	12.27573653	11.70692764	12.43175875	12.09693473	11.55762325	12.30092449	11.4807902	12.36121274	11.54464251	11.06092105
C1_08110W_A	12.61937938	12.02490879	12.59781979	12.75056743	11.85538762	12.48154719	11.72422961	12.48683502	11.23800659	12.01180962
C1_08120W_A	10.27068466	10.50647289	11.46879372	11.84130225	11.40921412	10.36595785	10.40549606	11.6105635	10.74371243	11.74315139
C1_08130C_A	8.29615146	8.532680601	9.622661967	10.33947889	9.65224746	8.541741972	8.667702932	9.758223215	9.496520937	10.203348
C1_08140W_A	9.080373416	9.094517599	9.920849053	10.34762137	9.956618159	9.410097966	9.276899839	10.17949446	9.716533694	10.32568023
