gene_name	wt_dox_no_HS_Rep.A	wt_dox_no_HS_Rep.B	wt_dox_no_HS_Rep.C	wt_dox_10_HS_Rep.A	wt_dox_10_HS_Rep.B	wt_dox_10_HS_Rep.C	wt_dox_30_HS_Rep.A	wt_dox_30_HS_Rep.B	wt_dox_30_HS_Rep.C	wt_dox_60_HS_Rep.A	wt_dox_60_HS_Rep.B	wt_dox_60_HS_Rep.C	wt_dox_no_HS_Mean	wt_dox_10_HS_Mean	wt_dox_30_HS_Mean	wt_dox_60_HS_Mean
C1_14550C_A	380.9999998697192	269.0000000826704	336.0000000515261	332.9999999835512	629.0000000526289	420.99999998062475	618.9999999080678	695.0000001874589	515.9999998486171	1127.999998124455	804.9999999988959	1153.0000018767005	328.6666667448626	460.9999998628091	609.9999998096263	1028.6666696259895
C1_14560C_A	1593.9999955910212	1093.0000032790083	1287.0000015872768	1184.000003587261	1518.0000048238346	1194.9999976243128	1286.0000023818338	1305.9999986000926	1064.0000033179108	1363.0000030183096	979.0000002689292	1223.9999977155214	1324.666669854147	1299.000004098719	1218.6666630032087	1188.6666692176586
C1_14570C_A	849.9999999852329	588.0000000666929	754.9999998888242	656.0000001736593	766.0000000398437	622.9999999896353	661.0000002255606	681.9999999885732	514.9999999748048	503.99999982535587	475.99999989839796	495.00000001133213	731.0000000240999	681.6666666156586	619.333333478649	491.6666668658935
C1_14580C_A	663.9999998403276	365.0000000588528	452.99999998548225	467.0000000939823	656.9999998532114	424.0000001283732	494.00000014221274	518.0000001125429	354.9999999035305	367.99999998545724	317.999999937322	379.9999999128295	494.00000014221274	515.9999998486171	455.6666667030192	355.33333332396893
C1_14590C_A	441.9999998800769	319.0000000519907	395.9999999781481	778.9999999667006	858.9999999175566	593.0000001866088	567.0000000227051	643.9999999488365	704.9999998601647	1006.9999999952644	586.9999999552222	753.0000001712336	385.6666668307144	743.6666669125544	638.6666666600154	782.3333334406959
C1_14630C_A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
C2_00010W_A	420.99999998062475	350.9999999259018	412.99999987992555	506.99999999882607	824.999999923843	690.0000001599669	624.0000000595808	704.9999998601647	748.9999997618319	1988.9999988505426	1154.0000010834679	1368.9999988063557	394.99999998234983	673.9999999150394	692.6666665787782	1503.9999982510742
C2_00030W_A	363.0000000010691	761.9999997394384	685.0000000722232	1757.000004861238	1418.999996006139	810.9999998778616	1821.000003815898	1982.9999969364248	1013.0000001396328	1308.0000040816028	1194.9999976243128	951.9999997967959	603.3333332290298	1329.000000666783	1605.6666690419297	1151.6666630309544
C2_00050C_A	1	3.0000000005798393	2	1	1	2	17.999999994481428	13.999999999441007	12.999999998728633	8	8.999999997240714	5.000000000390373	2	1.333333333075627	15.000000004070316	7.333333333759595
C2_00060C_A	4610.000014965054	4151.000009772282	3958.00000810008	4281.999998855785	4184.000010884351	3034.999997595376	3597.9999968788743	3846.999988542918	3243.9999905171676	7215.000003107856	4797.999992372678	3760.9999972879978	4239.666679683509	3833.666676534475	3563.0000046101586	5258.000012325762
C2_00070C_A	2165.000000579125	2837.000009292776	2985.000007961336	4017.0000110108926	1720.0000004894516	1620.0000025018314	2074.00000170609	2423.9999941647866	2574.0000031745535	2312.999998980027	1648.000003217628	1884.0000005056618	2662.3333377158933	2452.3333413248606	2357.3333355060745	1948.3333350918465
C2_00080C_A	412.99999987992555	262.000000084001	312.0000000297904	332.9999999835512	326.99999988710493	215.0000000611813	624.0000000595808	647.0000000033604	491.9999998843096	320.99999997278763	292.00000002428436	269.9999999904869	329.00000006037703	291.6666666669629	587.6666668299998	294.33333334816325
C2_00090W_A	359.00000004403176	391.9999999686964	287.0000000645166	612.000000130379	425.9999999333144	324.00000002591105	695.0000001874589	800.0000001249188	700.9999999948386	398.99999993850685	225.99999993496033	189.99999995641485	346.0000000871238	453.99999990845237	731.9999998558814	271.6666667801613
C2_00100C_A	3348.9999983594657	2187.000007506659	2151.000000860192	1775.000000886572	1395.0000031749007	1123.9999998278765	1418.0000027132314	1532.9999982373913	1872.0000005405618	3457.0000041636567	2510.9999943059797	2827.0000042498714	2562.3333290623477	1431.3333282361773	1607.6666621638701	2931.6666633377845
C2_00110W_A	480.0000001302501	441.000000135256	420.99999998062475	350.9999999259018	401.9999999501422	213.99999994049645	212.9999999666572	211.0000000428254	207.99999997965813	162.0000000129554	113.99999998698233	70.00000000267023	447.3333331848025	322.3333333879193	210.66666674611093	115.33333326014004
C2_00120C_A	1667.9999960173845	1597.000002865651	1648.000003217628	1850.0000058939702	2672.999995844064	1409.0000036041722	2812.0000018077503	3082.9999912230774	1672.9999999555248	1453.0000023840673	1481.0000048362376	930.0000000029697	1637.6666632273373	1977.3333309574637	2522.6666620884685	1288.0000016832203
C2_00130W_A	15.000000004070316	22.999999999091077	22.999999999091077	30.999999991687	43.00000000887907	35.999999988962855	18.999999994158063	6.999999999720504	5.000000000390373	16	27.999999998882014	16.99999999705012	20.33333333556398	36.66666667166071	10.333333335727627	20.33333333556398
